site,plotID,subplotID,year,shannon_exotic,evenness_exotic,nspp_exotic,shannon_notexotic,evenness_notexotic,nspp_notexotic,shannon_native,evenness_native,nspp_native,shannon_unknown,evenness_unknown,nspp_unknown,rel_cover_native,rel_cover_unknown,rel_cover_exotic,cover_native,cover_unknown,cover_exotic,rel_cover_notexotic,cover_notexotic,shannon_total,evenness_total,nspp_total,shannon_family,evenness_family,nfamilies,scale,invaded
BONA,BONA_001,plot,2021,0,0,0,2.248171164070177,0.11240855820350885,20,2.2000104481703566,0.12222280267613092,18,0.5623351446188083,0.28116757230940415,2,0.9869706840390879,0.013029315960912053,0,12.625,0.16666666666666666,0,1,12.791666666666666,2.248171164070177,0.11240855820350885,20,2.07621027387281,0.17301752282273417,12,plot,not_invaded
BONA,BONA_001,plot,2019,0,0,0,1.9780322271906001,0.11635483689356471,17,1.9547486282815987,0.12217178926759992,16,0,0,1,0.9945205479452055,0.005479452054794521,0,7.5625,0.041666666666666664,0,1,7.604166666666666,1.9780322271906001,0.11635483689356471,17,1.7724061693716036,0.17724061693716037,10,plot,not_invaded
BONA,BONA_001,plot,2018,0,0,0,1.598510865882012,0.11417934756300085,14,1.598510865882012,0.11417934756300085,14,0,0,0,1,0,0,11.3125,0,0,1,11.3125,1.598510865882012,0.11417934756300085,14,1.5177258580760216,0.13797507800691106,11,plot,not_invaded
BONA,BONA_001,plot,2022,0,0,0,1.470757416257566,0.18384467703219576,8,1.470757416257566,0.18384467703219576,8,0,0,0,1,0,0,5.25,0,0,1,5.25,1.470757416257566,0.18384467703219576,8,1.417201688198632,0.20245738402837601,7,plot,not_invaded
BONA,BONA_001,plot,2020,0,0,0,1.7278362267661178,0.1919818029740131,9,1.7278362267661178,0.1919818029740131,9,0,0,0,1,0,0,5.375,0,0,1,5.375,1.7278362267661178,0.1919818029740131,9,1.4092162251930662,0.20131660359900946,7,plot,not_invaded
BONA,BONA_002,plot,2021,0,0,0,1.90668563152198,0.15889046929349834,12,1.7747097369136324,0.1613372488103302,11,0,0,1,0.9267399267399267,0.07326007326007326,0,5.270833333333333,0.4166666666666667,0,1,5.6875,1.90668563152198,0.15889046929349834,12,1.4580276502702099,0.2082896643243157,7,plot,not_invaded
BONA,BONA_002,plot,2017,0,0,0,1.773027359407833,0.14775227995065274,12,1.773027359407833,0.14775227995065274,12,0,0,0,1,0,0,14.291666666666666,0,0,1,14.291666666666666,1.773027359407833,0.14775227995065274,12,1.3874221802793345,0.1734277725349168,8,plot,not_invaded
BONA,BONA_002,plot,2018,0,0,0,1.7216672196614737,0.1434722683051228,12,1.7216672196614737,0.1434722683051228,12,0,0,0,1,0,0,14.541666666666666,0,0,1,14.541666666666666,1.7216672196614737,0.1434722683051228,12,1.2511505308027946,0.17873579011468493,7,plot,not_invaded
BONA,BONA_002,plot,2019,0,0,0,1.3598961503914622,0.09713543931367587,14,1.3598961503914622,0.09713543931367587,14,0,0,0,1,0,0,12.6875,0,0,1,12.6875,1.3598961503914622,0.09713543931367587,14,1.0314870360586086,0.14735529086551552,7,plot,not_invaded
BONA,BONA_002,plot,2020,0,0,0,0.9690473812954387,0.1615078968825731,6,0.9690473812954387,0.1615078968825731,6,0,0,0,1,0,0,9.25,0,0,1,9.25,0.9690473812954387,0.1615078968825731,6,0.8608427684156089,0.21521069210390223,4,plot,not_invaded
