site,plotID,year,shannon_exotic,evenness_exotic,nspp_exotic,shannon_notexotic,evenness_notexotic,nspp_notexotic,shannon_native,evenness_native,nspp_native,shannon_unknown,evenness_unknown,nspp_unknown,rel_cover_native,rel_cover_unknown,rel_cover_exotic,cover_native,cover_unknown,cover_exotic,rel_cover_notexotic,cover_notexotic,shannon_total,evenness_total,nspp_total,shannon_family,evenness_family,nfamilies,invaded,turnover,nestedness,monthyear,year_plot,easting,northing,mean.max.canopy.ht.aop,max.canopy.ht.aop,rumple.aop,deepgaps.aop,deepgap.fraction.aop,cover.fraction.aop,top.rugosity.aop,vert.sd.aop,sd.sd.aop,entropy.aop,GFP.AOP.aop,VAI.AOP.aop,VCI.AOP.aop
BONA,BONA_003,2017,0,0,0,2.083317350670729,0.09920558812717756,21,2.083317350670729,0.09920558812717756,21,0,0,0,1,0,0,29.4375,0,0,1,29.4375,2.083317350670729,0.09920558812717756,21,1.2028134820808318,0.09252411400621784,13,not_invaded,0.59375,0.09672619047619048,2017-08,2017BONA_003,477241.564,7230951.278,0.861214600377596,7.139,1.71452260905293,92,0.0547293277810827,0.945270672218917,1.24809932167437,18.9881117372523,0.972594827530234,0.668829748787231,0.934820705600778,10.724166597209,NA
BONA,BONA_007,2018,0,0,0,2.1628286092496207,0.12015714495831226,18,2.103859047038924,0.12375641453170144,17,0,0,1,0.9782766111513396,0.02172338884866039,0,8.44375,0.1875,0,1,8.63125,2.1628286092496207,0.12015714495831226,18,1.580909027372705,0.1580909027372705,10,not_invaded,0.7530864197530864,0.05999769239644629,2018-07,2018BONA_007,479192.127,7230113.172,12.4474667085427,15.765,1.61169862253043,89,0.0529446757882213,0.947055324211779,1.40716264621661,13.6307966185533,2.62926722463641,0.652024497123816,0.892149541004241,14.3296964605793,NA
BONA,BONA_019,2018,0,0,0,1.8539424610508128,0.1426109585423702,13,1.8539424610508128,0.1426109585423702,13,0,0,0,1,0,0,26,0,0,1,26,1.8539424610508128,0.1426109585423702,13,1.4319139434311177,0.15910154927012418,9,not_invaded,0.5333333333333333,0.19215686274509805,2018-07,2018BONA_019,477481.873,7230651.968,2.11302127659574,6.769,2.29514084714561,83,0.0493753718024985,0.950624628197501,1.66611723311643,11.4010765986282,1.01821460287475,0.57135668537855,0.895452222754479,9.64480542715656,NA
BONA,BONA_021,2018,0,0,0,1.3059352835183882,0.04836797346364401,27,1.262376748656555,0.05259903119402312,24,0.5982695885852573,0.2991347942926286,2,0.9975026757046022,0.00249732429539778,0,58.25,0.14583333333333331,0,1,58.729166666666664,1.3059352835183882,0.04836797346364401,27,1.243376712503625,0.082891780833575,15,not_invaded,0.6820809248554913,0.08486822768688156,2018-07,2018BONA_021,478591.815,7225431.467,1.4601625,13.57,1.59286882605524,81,0.0481856038072576,0.951814396192742,2.82027378036537,11.390676464883,0.618177012183051,0.617267627442273,0.883201492179036,14.6628390290147,NA
CLBJ,CLBJ_001,2018,0.07237778951611745,0.03618889475805872,2,3.355000052204775,0.04533783854330777,74,3.33355238847874,0.04695144209124986,71,0.6365141682948128,0.3182570841474064,2,0.8900830483634588,0.00293111871030776,0.10698583292623352,37.958333333333336,0.125,4.5625,0.8932228181374939,38.166666666666664,3.3442146487815654,0.04400282432607323,76,1.5982609604858682,0.057080748588781,28,invaded,0.767616191904048,0.04173190157688683,2018-05,2018CLBJ_001,633141.62,3696324.985,2.44890119572058,11.638,1.4379468130693,92,0.0547293277810827,0.945270672218917,3.53525152638976,3.35080272078529,1.51678817415783,0.44196891679395,0.721987509050719,11.8813924284943,NA
CLBJ,CLBJ_002,2018,0.9949236325717752,0.3316412108572584,3,3.1456398925858986,0.034567471347097783,91,3.05829970075053,0.03556162442733174,86,0.8979457248567798,0.2993152416189266,3,0.976286871023713,0.01735106998264892,0.00636205899363794,35.166666666666664,0.625,0.22916666666666663,0.9937178754997144,36.25,3.1702418426308268,0.03372597704926412,94,2.53121649429639,0.07670353013019364,33,invaded,0.8084358523725835,0.06613261713259488,2018-05,2018CLBJ_002,632872.228,3696985.964,6.22425297432686,12.726,2.22085703933209,84,0.049970255800119,0.950029744199881,3.28690228847908,5.08520396753516,1.10546544194299,0.531204255097125,0.828285817807117,7.85232024142259,NA
CLBJ,CLBJ_003,2018,0,0,1,2.7307658920524367,0.05354442925593013,51,2.701680141075894,0.05628500293908112,48,0.5623351446188083,0.28116757230940415,2,0.9931129476584022,0.00550964187327823,0.00137741046831955,45.0625,0.25,0.0625,0.998624484181568,45.375,2.7374474223303102,0.05264321966019827,52,1.9412411831768712,0.1021705885882564,19,invaded,0.8680089485458613,0.03558582269596876,2018-05,2018CLBJ_003,632722.868,3696984.829,5.58503318722605,12.292,2.31828654183385,84,0.049970255800119,0.950029744199881,3.61417215700593,4.49887022077357,1.42869539461074,0.509258132579032,0.804522222321795,8.29577489730455,NA
CLBJ,CLBJ_031,2017,1.559581156259877,0.3119162312519754,5,3.5293219748668485,0.03329549032893253,106,3.4205587597062097,0.03526349236810525,97,1.511961714374258,0.18899521429678223,8,0.946513470681458,0.0471473851030111,0.0063391442155309,49.770833333333336,2.479166666666667,0.3333333333333333,0.9936758893280632,52.375,3.555190599680457,0.03202874414126538,111,1.790911062479322,0.0596970354159774,30,invaded,0.7927170868347339,0.0642877440831405,2017-05,2017CLBJ_031,630681.931,3693772.963,0.115627659574468,3.241,1.0139536355098,83,0.0493753718024985,0.950624628197501,0.151689825109027,1.51855237493534,0.42546679732769,0.321200219260631,0.632020366806117,15.4274004999622,NA
CLBJ,CLBJ_032,2017,0.26918120423513653,0.03364765052939206,8,3.433012626991869,0.04136159791556468,83,3.2583637566369306,0.04654805366624186,70,1.5580577100522692,0.14164161000475176,11,0.5933812949640288,0.05496402877697842,0.3516546762589928,42.958333333333336,3.9791666666666665,25.458333333333332,0.6507573592454987,47.4375,2.975044328908627,0.03269279482317172,91,1.397955902714853,0.04992699652553046,28,invaded,0.8307692307692308,0.0358974358974359,2017-05,2017CLBJ_032,630743.201,3697195.761,0.820608641202254,7.996,1.25831582574903,84,0.049970255800119,0.950029744199881,1.7461664187314,2.61456972878563,0.527246034356229,0.403390982135442,0.731243519263143,10.0552932798456,NA
CLBJ,CLBJ_033,2018,1.30130555043691,0.3253263876092275,4,2.855956110413884,0.04022473394949132,71,2.8101743478313024,0.04323345150509695,65,1.5388340843440496,0.2564723473906749,6,0.9814606741573034,0.01067415730337078,0.00786516853932584,36.395833333333336,0.3958333333333333,0.2916666666666667,0.992134831460674,36.791666666666664,2.889671868537235,0.03852895824716313,75,2.271251865571323,0.0757083955190441,30,invaded,0.8029739776951673,0.05122134555105005,2018-05,2018CLBJ_033,628342.456,3694373.135,4.39572253968254,11.092,1.72485397620376,106,0.0630577037477692,0.936942296252231,2.72967574671041,3.41400225586426,0.887869031660094,0.431133128562027,0.732220385047326,10.6958981204939,NA
CLBJ,CLBJ_034,2017,0,0,0,2.4138846113084527,0.03713668632782235,65,2.7913037699442333,0.0457590781958071,61,0.09868066718392451,0.02467016679598113,4,0.611764705882353,0.38823529411764707,0,42.25,26.8125,0,1,69.0625,2.4138846113084527,0.03713668632782235,65,1.8808893294103357,0.08177779693088416,23,not_invaded,0.8062015503875969,0.03333631867530425,2017-05,2017CLBJ_034,632391.857,3687804.606,0.203290383406662,6.113,1.03696877465194,90,0.0535395597858418,0.946460440214158,0.527138364423503,1.91109938570646,0.0515448256199473,0.351884534792839,0.68918167634121,9.24537713289818,NA
CLBJ,CLBJ_034,2018,0,0,0,2.70221158902422,0.04358405788748741,62,2.6631554320728,0.04672202512408421,57,1.200684562341244,0.300171140585311,4,0.9933619679812572,0.00663803201874268,0,53,0.3541666666666667,0,1,53.458333333333336,2.70221158902422,0.04358405788748741,62,1.9476446460913184,0.08852930209505994,22,not_invaded,0.8087091757387247,0.0298735014266296,2018-05,2018CLBJ_034,632391.857,3687804.606,0.250483082706767,6.655,1.06012187650877,85,0.0505651397977394,0.949434860202261,0.768641380294126,2.13719164335747,0.164850588067276,0.36498678346949,0.730774449259558,8.64029318250638,NA
CLBJ,CLBJ_035,2017,0.3404997784712986,0.1702498892356493,2,2.1260136344634604,0.035433560574391,60,2.0976198194467828,0.03745749677583541,56,0.8921178708188162,0.2973726236062721,3,0.9817660849179471,0.00364678301641052,0.01458713206564209,78.52083333333333,0.2916666666666667,1.1666666666666667,0.9854356306892068,78.9375,2.1760618399490546,0.03509777161208152,62,1.5170689385912006,0.05056896461970669,30,invaded,0.7952286282306164,0.03810470510271703,2017-05,2017CLBJ_035,632212.369,3688764.37,0.325005053695515,8.343,1.10744722741128,98,0.0582986317668055,0.941701368233195,1.21015407069365,6.43815262932131,1.48210501279333,0.543933929228372,0.798440066722102,23.3498845368476,NA
CLBJ,CLBJ_036,2017,0,0,0,3.2401137466715864,0.03272842168355137,99,3.1729269040775083,0.03486732861623636,91,1.306477849994557,0.1866396928563653,7,0.9780767314399602,0.02192326856003986,0,81.79166666666667,1.8333333333333333,0,1,83.66666666666667,3.2401137466715864,0.03272842168355137,99,2.075525243180931,0.05765347897724807,36,not_invaded,0.8101851851851852,0.03317680144327709,2017-05,2017CLBJ_036,632062.408,3696264.855,1.76826952141058,10.328,1.55210489588152,93,0.0553242117787032,0.944675788221297,2.85806261758769,3.76886860622889,1.54850278866027,0.417936998706209,0.746401765645436,15.9632775683859,NA
CLBJ,CLBJ_036,2018,0,0,0,3.022165693549665,0.03685567918963006,82,3.009031991815961,0.03808901255463242,79,0.6730116670092563,0.33650583350462815,2,0.99812734082397,0.00187265917602996,0,55.520833333333336,0.10416666666666666,0,1,55.666666666666664,3.022165693549665,0.03685567918963006,82,1.7750490416768914,0.05547028255240285,32,not_invaded,0.7523809523809524,0.0493979548617414,2018-05,2018CLBJ_036,632062.408,3696264.855,1.59741424968474,10.815,1.61453703705049,95,0.0565139797739441,0.943486020226056,2.88864513697037,3.48054280499531,1.62123769541092,0.407969143159882,0.740204030951622,16.5947267487684,NA
CLBJ,CLBJ_036,2019,0,0,0,2.971056676436507,0.05401921229884558,55,2.9343093443791473,0.05642902585344514,52,0.9556998911125344,0.31856663037084476,3,0.9897959183673468,0.01020408163265306,0,42.4375,0.4375,0,1,42.875,2.971056676436507,0.05401921229884558,55,1.9106678481518995,0.06823813743399641,28,not_invaded,0.7706422018348624,0.05928977095425326,2019-04,2019CLBJ_036,632062.408,3696264.855,1.88607335423197,10.94,1.64463004620263,86,0.0511600237953599,0.94883997620464,3.12667518908322,3.72167738322248,1.58508112518346,0.430233069518134,0.745268552358294,20.5661012729098,NA
CLBJ,CLBJ_038,2017,1.0986122886681096,0.3662040962227032,3,2.852921586542089,0.03205529872519201,89,2.824621176676668,0.03362644257948414,84,1.2711814802605796,0.3177953700651449,4,0.9941030415890753,0.00403476101800124,0.00186219739292365,66.72916666666667,0.2708333333333333,0.125,0.9981412639405204,67.125,2.8632052655716533,0.03112179636490927,92,2.329203320960552,0.06850598002825153,34,invaded,0.7680311890838206,0.09930437390391623,2017-05,2017CLBJ_038,630442.546,3698092.837,5.8872998729352,16.364,2.03714539016378,107,0.0636525877453896,0.93634741225461,3.41049484140198,4.61996779616852,2.00731123040053,0.509469314154972,0.787213046328783,11.4413970267652,NA
CLBJ,CLBJ_039,2017,0.1135794525003639,0.05678972625018195,2,2.6777517609288757,0.03719099667956772,72,2.5655774686383563,0.03887238588845995,66,0.9813744192061238,0.19627488384122477,5,0.9068259385665528,0.03651877133105802,0.05665529010238908,55.354166666666664,2.2291666666666665,3.4583333333333335,0.9434604904632152,57.708333333333336,2.750112447734551,0.03716368172614258,74,1.3136292608997566,0.05473455253748986,24,invaded,0.7815750371471025,0.02899197316217582,2017-05,2017CLBJ_039,631822.133,3688703.552,1.52076075949367,9.287,1.48108406867541,101,0.0600832837596669,0.939916716240333,2.38227355490845,5.1709269612344,1.47722663543591,0.499171146681167,0.778936254017762,16.7523382742467,NA
CLBJ,CLBJ_040,2017,0.6730116670092563,0.33650583350462815,2,1.9589875123155411,0.07835950049262165,25,1.9177317125991913,0.0799054880249663,24,0,0,1,0.983495145631068,0.0116504854368932,0.00485436893203883,21.104166666666668,0.25,0.10416666666666666,0.9951456310679612,21.354166666666668,1.983450955043569,0.07346114648309515,27,1.8174769890920288,0.10691041112306052,17,invaded,0.7562189054726368,0.06026049527642686,2017-05,2017CLBJ_040,625882.127,3694102.735,5.64915703517588,12.534,1.99211112302055,89,0.0529446757882213,0.947055324211779,2.78953068991576,4.05987581645472,1.0833603099274,0.476940407074321,0.800746902511281,9.17144610210514,NA
CLBJ,CLBJ_041,2017,0.3958788916834451,0.06597981528057419,6,2.3497122434317506,0.04895233840482813,48,2.1805899729139284,0.05071139471892857,43,1.013851024344978,0.337950341448326,3,0.7046703296703297,0.02106227106227106,0.27426739926739924,32.0625,0.9583333333333331,12.479166666666666,0.7309074573225517,33.895833333333336,2.4063044309663586,0.04456119316604368,54,1.2230398367376287,0.05823999222560137,21,invaded,0.8421052631578947,0.04210526315789473,2017-05,2017CLBJ_041,624411.434,3697644.222,0.476316120906801,6.82,1.13896298126145,93,0.0553242117787032,0.944675788221297,1.26817083375375,2.50336394666252,1.04643648118103,0.39718385307359,0.693636299554548,11.9068113175496,NA
CLBJ,CLBJ_042,2018,0,0,0,2.555269422670147,0.05010332201314013,51,2.5295228526456293,0.05162291536011488,49,0.5623351446188083,0.28116757230940415,2,0.9937205651491364,0.00627943485086342,0,26.375,0.16666666666666666,0,1,26.541666666666668,2.555269422670147,0.05010332201314013,51,2.1557466280185613,0.08622986512074245,25,not_invaded,0.8484848484848485,0.01668369084099421,2018-05,2018CLBJ_042,630441.76,3693354.515,7.76487307692308,13.238,1.95494641921449,121,0.0719809637120761,0.928019036287924,2.93610207460086,4.15375968606219,1.39288886497093,0.483464106407293,0.787803472866308,8.48846423767135,NA
CLBJ,CLBJ_042,2017,0,0,0,2.4755558386594676,0.04951111677318935,50,2.4406978849132863,0.05192974223219758,47,0.9839614460010256,0.3279871486670085,3,0.9920245398773004,0.00797546012269938,0,33.6875,0.2708333333333333,0,1,33.958333333333336,2.4755558386594676,0.04951111677318935,50,2.157560354294274,0.07990964275163978,27,not_invaded,0.8318042813455657,0.04570128658316476,2017-05,2017CLBJ_042,630441.76,3693354.515,7.25258985879332,12.838,2.04140748033572,123,0.0731707317073171,0.926829268292683,2.94220343603845,4.11996034569275,1.72728735987382,0.478703721026151,0.76504135588311994,10.8495998956118,NA
CLBJ,CLBJ_043,2017,0,0,0,2.756451001440577,0.0393778714491511,70,2.6552276880808674,0.04148793262626355,64,1.1517381968159972,0.23034763936319944,5,0.9697452229299364,0.03025477707006369,0,38.0625,1.1875,0,1,39.354166666666664,2.756451001440577,0.0393778714491511,70,2.13237079493425,0.07615609981908035,28,not_invaded,0.7639902676399026,0.07981005442128894,2017-05,2017CLBJ_043,630623.323,3697615.275,5.55017897371715,13.366,2.10529893558347,83,0.0493753718024985,0.950624628197501,3.03525653131723,3.98834958190292,1.43388930725936,0.482039227816339,0.790521623393716,8.59525708868163,NA
CLBJ,CLBJ_044,2017,0,0,1,2.0627964250173187,0.04044698872582978,51,2.039967825994837,0.04434712665206167,46,1.5472867333409472,0.30945734666818947,5,0.9957553058676654,0.00374531835205992,4.993757802746567e-4,83.08333333333333,0.3125,0.04166666666666666,0.9995006242197252,83.39583333333333,2.0660618959408956,0.03973195953732492,52,1.3982381639647834,0.08224930376263431,17,invaded,0.7749419953596288,0.0490144474715872,2017-05,2017CLBJ_044,624862.186,3698244.719,0.272,5.514,1.07157020192401,87,0.0517549077929804,0.94824509220702,0.665715238225417,1.43225564015872,0.250762686351384,0.286076009021917,0.640933308641181,19.2762977377329,NA
CLBJ,CLBJ_044,2018,0,0,0,1.7551375671907166,0.06500509508113765,27,1.6932133783478898,0.0677285351339156,25,0.24493002679463532,0.12246501339731766,2,0.982837528604119,0.017162471395881,0,53.6875,0.9375,0,1,54.625,1.7551375671907166,0.06500509508113765,27,1.19879444103417,0.13319938233713,9,not_invaded,0.8305647840531561,0.01809990437414356,2018-05,2018CLBJ_044,624862.186,3698244.719,0.344048366834171,5.833,1.12131074609345,89,0.0529446757882213,0.947055324211779,0.846960808856215,1.87118558828266,0.788457871354406,0.32397769534646,0.659888143096372,23.6071936301526,NA
CLBJ,CLBJ_045,2017,0.5802130629025749,0.08288758041465356,7,2.5581842743098813,0.04263640457183135,60,2.3829761097351327,0.04582646364875255,52,1.5259099588907787,0.21798713698439695,7,0.9013429752066114,0.04726239669421487,0.05139462809917355,72.70833333333333,3.8125,4.145833333333333,0.9488694758478932,76.9375,2.6588802136998613,0.03968477930895315,67,1.9230474144927885,0.06868026480331386,28,invaded,0.8295454545454546,0.03868294955410621,2017-05,2017CLBJ_045,633141.462,3696924.986,3.28636040609137,12.72,2.41022315344059,105,0.0624628197501487,0.937537180249851,3.8271627615452,5.1307049497846,1.48869142791372,0.529267876065116,0.800101226870517,9.95390172936595,NA
CLBJ,CLBJ_046,2017,0,0,0,2.388240918985342,0.0411765675687128,58,2.310403385719262,0.04443083434075504,52,1.4411831050226915,0.2882366210045383,5,0.9828444936358604,0.01715550636413945,0,37,0.6458333333333333,0,1,37.6875,2.388240918985342,0.0411765675687128,58,2.0143564143715893,0.07194130051327105,28,not_invaded,0.8009153318077803,0.05335602497613927,2017-05,2017CLBJ_046,631731.495,3696924.926,7.93438165490699,13.507,1.85467900435019,122,0.0725758477096966,0.927424152290303,2.95011650124772,4.48230569006321,1.6194581024144,0.508109800774903,0.7483605841973,14.0742999253103,NA
CLBJ,CLBJ_049,2017,0,0,1,3.0435105425422995,0.04058014056723066,75,2.956969778128609,0.04285463446563201,69,0.561465195856468,0.09357753264274468,6,0.9123298638911128,0.07245796637309848,0.01521216973578863,47.479166666666664,3.770833333333333,0.7916666666666666,0.9847878302642116,51.25,3.0759809802874,0.04047343395115,76,1.8134634236035037,0.07884623580884799,23,invaded,0.8380952380952381,0.03817841547099189,2017-05,2017CLBJ_049,626842.436,3697945.995,3.36289119496855,13.021,1.96636674844639,50,0.0304878048780488,0.969512195121951,3.45381559492341,5.08812293098284,1.49294103366738,0.519249575385342,0.807933642305017,12.8897395274381,NA
CLBJ,CLBJ_049,2018,0,0,1,2.8146916093105196,0.04079263201899304,69,2.7275252022035574,0.04545875337005929,60,1.8019511397932635,0.25742159139903764,7,0.9779063650710152,0.01893740136770121,0.00315623356128353,38.729166666666664,0.75,0.125,0.9968503937007874,39.5625,2.8271143171843067,0.04038734738834724,70,2.0469432469416096,0.09304287486098226,22,invaded,0.8399366085578447,0.02940362430114625,2018-05,2018CLBJ_049,626842.436,3697945.995,4.12329648241206,13.168,2.01692240606957,89,0.0529446757882213,0.947055324211779,3.53477018581646,4.80225079739013,1.47827707909292,0.5112128021233,0.811439528875845,9.55729306990159,NA
CLBJ,CLBJ_050,2018,0.14999492361041503,0.07499746180520751,2,2.3062546926597434,0.04435105178191814,52,2.2479420088803295,0.04886830454087673,46,1.5607104090414063,0.3121420818082813,5,0.9435483870967742,0.00967741935483871,0.0467741935483871,36.5625,0.375,1.8125,0.9533011272141708,37,2.3942378837343337,0.04433773858767284,54,1.738039529304118,0.0827637871097199,21,invaded,0.8859060402684564,0.02646509375216218,2018-05,2018CLBJ_050,628131.9,3694194.459,1.72195060164661,9.586,1.29530564911842,102,0.0606781677572873,0.939321832242713,2.47314833425663,3.74698057046613,1.34905847842614,0.466825339331943,0.758548930485482,11.7586309139168,NA
CLBJ,CLBJ_051,2017,0,0,0,3.3351431092767228,0.07096049168673878,47,3.168515881617364,0.07728087516139913,41,1.6230473197705937,0.2705078866284323,6,0.9057142857142856,0.09428571428571428,0,6.604166666666667,0.6875,0,1,7.291666666666667,3.3351431092767228,0.07096049168673878,47,2.4888927441375817,0.1082127280059818,23,not_invaded,0.8235294117647058,0.06083889658647185,2017-05,2017CLBJ_051,630742.157,3693145.145,5.80754385964912,13.534,1.79616202909051,85,0.0505651397977394,0.949434860202261,3.61585533683026,4.86034240208367,1.36681547090344,0.511090788481798,0.801425003908307,14.5398183719063,NA
CLBJ,CLBJ_051,2018,0,0,0,1.5179580029961866,0.07228371442838984,21,1.4857998737243254,0.07428999368621628,20,0,0,1,0.9927536231884058,0.0072463768115942,0,8.5625,0.0625,0,1,8.625,1.5179580029961866,0.07228371442838984,21,1.3811248802285525,0.11509374001904604,12,not_invaded,0.8450704225352113,0.08984082006833902,2018-05,2018CLBJ_051,630742.157,3693145.145,6.81804579673777,14.48,1.74643510829131,87,0.0517549077929804,0.94824509220702,3.59347014348262,4.58134236136639,1.23119352591852,0.5036903926029,0.806076911307296,10.4092576160581,NA
CLBJ,CLBJ_055,2017,0.6730116670092563,0.33650583350462815,2,3.092858480483029,0.04686149212853074,66,3.2497911645475495,0.05416318607579249,60,0.8029557870464875,0.1605911574092975,5,0.6726514908624559,0.32414235331837127,0.00320615581917281,43.708333333333336,21.0625,0.20833333333333331,0.9968,64.89583333333333,3.106692579511189,0.0456866555810469,68,1.9111175415697212,0.08309206702477048,23,invaded,0.7803030303030303,0.07541836273179556,2017-05,2017CLBJ_055,632691.673,3687774.215,0.0802289308176101,0.289,1.00226092161874,91,0.0541344437834622,0.945865556216538,0.0395700832030498,3.4383399339677,1.2002698579543,0.427282302525629,0.776447755217478,7.92821465091017,NA
CLBJ,CLBJ_056,2017,0,0,1,1.0924949326822326,0.03767223905800802,29,1.0742338095327304,0.03978643739010112,27,0.6365141682948128,0.3182570841474064,2,0.9965277777777776,0.00284090909090909,6.313131313131313e-4,65.77083333333333,0.1875,0.04166666666666666,0.9993686868686869,65.95833333333333,1.097087671265995,0.036569589042199827,30,1.0565840112166605,0.05560968480087686,19,invaded,0.757396449704142,0.09186825617821091,2017-05,2017CLBJ_056,624321.63,3695484.968,9.0815856873823,12.968,1.66547906322909,88,0.0523497917906008,0.947650208209399,2.25293687453717,4.01160801899911,1.43939814578704,0.473083292641824,0.798235693038851,7.18507969591914,NA
CLBJ,CLBJ_057,2018,0,0,0,1.5906171099036437,0.11361550785026024,14,1.5906171099036437,0.11361550785026024,14,0,0,0,1,0,0,19.5,0,0,1,19.5,1.5906171099036437,0.11361550785026024,14,1.546573643161492,0.140597603923772,11,not_invaded,0.8775510204081632,0.04649961250322914,2018-05,2018CLBJ_057,626393.231,3693444.288,8.20021957340025,13.144,1.78357234578081,87,0.0517549077929804,0.94824509220702,2.25738192343296,5.56296019192666,1.03097441374708,0.531248253538563,0.833746714332608,9.68639129517065,NA
